,dataset,acc,auc,ap,prec,rec,f1,mitigation,mitigated_attribute,CFS_true,attribute,dpdiff,dpr,eoddsdiff,eoddsr,y_pred_CFS,sampling
60,ACS_I,0.7624000204431043,0.7984768345036776,0.67112922305436,0.6816800810191355,0.7936084393422277,0.7333983254960431,balance_attribute,attribute_2,0.7997894940577985,attribute_1,0.0768615219515775,0.8509487754594397,0.0271456075398258,0.9007651319875896,0.8532317454558542,RandomOverSampler
61,ACS_I,0.7624000204431043,0.7984768345036776,0.67112922305436,0.6816800810191355,0.7936084393422277,0.7333983254960431,balance_attribute,attribute_2,0.7907491867903877,attribute_2,0.3511373651097095,0.3828998687364222,0.285445967940603,0.4338408753025593,0.7972350769882521,RandomOverSampler
62,ACS_I,0.7626555592466716,0.7988531038599289,0.6721988874214202,0.6826670947717665,0.7916227117592305,0.7331187862766507,balance_attribute,all,0.7997894940577985,attribute_1,0.0773839088453973,0.8494556383297502,0.0270036569331325,0.9005941920152039,0.8524158227017826,RandomOverSampler
63,ACS_I,0.7626555592466716,0.7988531038599289,0.6721988874214202,0.6826670947717665,0.7916227117592305,0.7331187862766507,balance_attribute,all,0.7907491867903877,attribute_2,0.3534421153247085,0.3796654413113365,0.2935555115705174,0.4325524205840171,0.7984563796395536,RandomOverSampler
64,ACS_I,0.7615311885109753,0.8005400392580837,0.6712099689366625,0.668622284094864,0.8345020167545765,0.7424091862647675,balance_output_for_attribute,attribute_1,0.7997894940577985,attribute_1,0.0337660680141269,0.936277527145225,0.0472397291073891,0.9452406491291708,0.9096934714452004,RandomOverSampler
65,ACS_I,0.7615311885109753,0.8005400392580837,0.6712099689366625,0.668622284094864,0.8345020167545765,0.7424091862647675,balance_output_for_attribute,attribute_1,0.7907491867903877,attribute_2,0.3658010346581182,0.388194563966893,0.3016956706856017,0.4381624754458642,0.7852794314417934,RandomOverSampler
66,ACS_I,0.7703217233536913,0.8067128823920586,0.6796582208491524,0.6836382375676372,0.8232081911262799,0.7469594594594594,balance_output_for_attribute,attribute_2,0.7997894940577985,attribute_1,0.0953988409548327,0.8236204938382927,0.0455490870853589,0.8431307592346698,0.8337100662995203,RandomOverSampler
67,ACS_I,0.7703217233536913,0.8067128823920586,0.6796582208491524,0.6836382375676372,0.8232081911262799,0.7469594594594594,balance_output_for_attribute,attribute_2,0.7907491867903877,attribute_2,0.3155997475924096,0.4338865966924553,0.2839118520210094,0.3499912861624259,0.7895865792068234,RandomOverSampler
68,ACS_I,0.7647509774359237,0.8039817575081267,0.675847066476143,0.6733055736718006,0.8328265591064226,0.744618286728806,balance_output_for_attribute,all,0.7997894940577985,attribute_1,0.0470039064846279,0.9115698641675132,0.0340643861736978,0.960071971289193,0.8920370382910927,RandomOverSampler
69,ACS_I,0.7647509774359237,0.8039817575081267,0.675847066476143,0.6733055736718006,0.8328265591064226,0.744618286728806,balance_output_for_attribute,all,0.7907491867903877,attribute_2,0.3256239632784232,0.4331070954652419,0.2564908388500538,0.4053689687795648,0.7896978138501509,RandomOverSampler
70,ACS_E,0.7201705295390951,0.7640474949523364,0.6440965944878433,0.6258366800535475,0.968995595474566,0.7604975090656455,none,none,0.8593585725261027,attribute_1,0.0301512044748282,0.9583982716267004,0.1242521794451178,0.7730944842264182,0.9207623960570872,RandomOverSampler
71,ACS_E,0.7201705295390951,0.7640474949523364,0.6440965944878433,0.6258366800535475,0.968995595474566,0.7604975090656455,none,none,0.8628069869370913,attribute_2,0.2381105232411999,0.6861718767134515,0.2695597916051345,0.5009031351406663,0.8361986758111503,RandomOverSampler
72,ACS_E,0.7199593474473365,0.7640523505648771,0.6441080123447784,0.6256458867700085,0.9690243832225004,0.7603654886547171,balance_output,none,0.8593585725261027,attribute_1,0.0302503291736011,0.9582779932496278,0.1245280285965493,0.7728152278557358,0.9206156341133048,RandomOverSampler
73,ACS_E,0.7199593474473365,0.7640523505648771,0.6441080123447784,0.6256458867700085,0.9690243832225004,0.7603654886547171,balance_output,none,0.8628069869370913,attribute_2,0.2393056235532547,0.6848790138890971,0.2713276125973943,0.4988910173365977,0.8362779724354336,RandomOverSampler
74,ACS_E,0.7202101261812999,0.7641945526512203,0.6442816263424692,0.6258715903385954,0.968995595474566,0.7605232833999863,balance_attribute,attribute_1,0.8593585725261027,attribute_1,0.029967466723534,0.9586443574225704,0.1240187620002992,0.7734461215090086,0.9210241559883892,RandomOverSampler
75,ACS_E,0.7202101261812999,0.7641945526512203,0.6442816263424692,0.6258715903385954,0.968995595474566,0.7605232833999863,balance_attribute,attribute_1,0.8628069869370913,attribute_2,0.2376828821838048,0.6866653369710419,0.2686414439394123,0.5021336464019582,0.8362458438417038,RandomOverSampler
76,ACS_E,0.7185602660894356,0.7572099943362016,0.636979805741326,0.6241577193631989,0.9706364971068312,0.7597597935937448,balance_attribute,attribute_2,0.8593585725261027,attribute_1,0.0333929031498297,0.9542231948859264,0.127907207613116,0.7689690386678552,0.9161716325897844,RandomOverSampler
77,ACS_E,0.7185602660894356,0.7572099943362016,0.636979805741326,0.6241577193631989,0.9706364971068312,0.7597597935937448,balance_attribute,attribute_2,0.8628069869370913,attribute_2,0.2471662402882498,0.6793703091874599,0.2830411797729951,0.4920791511756556,0.8426204977478926,RandomOverSampler
78,ACS_E,0.7184942716857611,0.757214077050301,0.6369882015890863,0.6240173137751799,0.971154676569652,0.7598144102344647,balance_attribute,all,0.8593585725261027,attribute_1,0.0334045321214306,0.9542415586140548,0.1281591808561191,0.7687963756734602,0.916140490950272,RandomOverSampler
79,ACS_E,0.7184942716857611,0.757214077050301,0.6369882015890863,0.6240173137751799,0.971154676569652,0.7598144102344647,balance_attribute,all,0.8628069869370913,attribute_2,0.2474124990037546,0.6794747385237513,0.2836518840950405,0.4919126628778428,0.84282055153322,RandomOverSampler
